id	lipid	formula	adduct	template_file
Lipid00001	PA(0:0_22:0)	C25H51O7P	NA	NA
Lipid00002	PA(0:0_20:5)	C23H37O7P	NA	NA
Lipid00003	PA(0:0_20:4)	C23H39O7P	NA	NA
Lipid00004	PA(0:0_20:3)	C23H41O7P	NA	NA
Lipid00005	PA(0:0_20:2)	C23H43O7P	NA	NA
Lipid00006	PA(0:0_20:1)	C23H45O7P	NA	NA
Lipid00007	PA(0:0_20:0)	C23H47O7P	NA	NA
Lipid00008	PA(0:0_19:1)	C22H43O7P	NA	NA
Lipid00009	PA(0:0_19:0)	C22H45O7P	NA	NA
Lipid00010	PA(0:0_18:4)	C21H35O7P	NA	NA
Lipid00011	PA(0:0_18:3)	C21H37O7P	NA	NA
Lipid00012	PA(0:0_18:2)	C21H39O7P	NA	NA
Lipid00013	PA(0:0_18:1)	C21H41O7P	NA	NA
Lipid00014	PA(0:0_18:0)	C21H43O7P	NA	NA
Lipid00015	PA(0:0_17:1)	C20H39O7P	NA	NA
Lipid00016	PA(0:0_17:0)	C20H41O7P	NA	NA
Lipid00017	PA(0:0_16:1)	C19H37O7P	NA	NA
Lipid00018	PA(0:0_16:0)	C19H39O7P	NA	NA
Lipid00019	PA(0:0_15:0)	C18H37O7P	NA	NA
Lipid00020	PA(0:0_14:0)	C17H35O7P	NA	NA
Lipid00021	PA(0:0_13:0)	C16H33O7P	NA	NA
Lipid00022	PA(0:0_12:0)	C15H31O7P	NA	NA
Lipid00023	PA(22:0_22:0)	C47H93O8P	NA	NA
Lipid00024	PA(20:5_22:0)	C45H79O8P	NA	NA
Lipid00025	PA(20:4_22:0)	C45H81O8P	NA	NA
Lipid00026	PA(20:3_22:0)	C45H83O8P	NA	NA
Lipid00027	PA(20:2_22:0)	C45H85O8P	NA	NA
Lipid00028	PA(20:1_22:0)	C45H87O8P	NA	NA
Lipid00029	PA(20:0_22:0)	C45H89O8P	NA	NA
Lipid00030	PA(19:0_22:0)	C44H87O8P	NA	NA
Lipid00031	PA(19:1_22:0)	C44H85O8P	NA	NA
Lipid00032	PA(18:4_22:0)	C43H77O8P	NA	NA
Lipid00033	PA(18:3_22:0)	C43H79O8P	NA	NA
Lipid00034	PA(18:2_22:0)	C43H81O8P	NA	NA
Lipid00035	PA(18:1_22:0)	C43H83O8P	NA	NA
Lipid00036	PA(18:0_22:0)	C43H85O8P	NA	NA
Lipid00037	PA(20:5_20:5)	C43H65O8P	NA	NA
Lipid00038	PA(20:4_20:5)	C43H67O8P	NA	NA
Lipid00039	PA(20:3_20:5)	C43H69O8P	NA	NA
Lipid00040	PA(20:2_20:5)	C43H71O8P	NA	NA
Lipid00041	PA(20:1_20:5)	C43H73O8P	NA	NA
Lipid00042	PA(20:0_20:5)	C43H75O8P	NA	NA
Lipid00043	PA(20:4_20:4)	C43H69O8P	NA	NA
Lipid00044	PA(20:3_20:4)	C43H71O8P	NA	NA
Lipid00045	PA(20:2_20:4)	C43H73O8P	NA	NA
Lipid00046	PA(20:1_20:4)	C43H75O8P	NA	NA
Lipid00047	PA(20:0_20:4)	C43H77O8P	NA	NA
Lipid00048	PA(20:3_20:3)	C43H73O8P	NA	NA
Lipid00049	PA(20:2_20:3)	C43H75O8P	NA	NA
Lipid00050	PA(20:1_20:3)	C43H77O8P	NA	NA
Lipid00051	PA(20:0_20:3)	C43H79O8P	NA	NA
Lipid00052	PA(20:2_20:2)	C43H77O8P	NA	NA
Lipid00053	PA(20:1_20:2)	C43H79O8P	NA	NA
Lipid00054	PA(20:0_20:2)	C43H81O8P	NA	NA
Lipid00055	PA(20:1_20:1)	C43H81O8P	NA	NA
Lipid00056	PA(20:0_20:1)	C43H83O8P	NA	NA
Lipid00057	PA(20:0_20:0)	C43H85O8P	NA	NA
Lipid00058	PA(17:0_22:0)	C42H83O8P	NA	NA
