name	formula	smiles	inchi	inchikey	exactmass	adduct	mz
FA(12:0)	C12H24O2	"NA"	"NA"	"NA"	200.17763	[M-H]-	199.170354
FA(13:0)	C13H26O2	"NA"	"NA"	"NA"	214.1932801	[M-H]-	213.18600410000002
FA(14:0)	C14H28O2	"NA"	"NA"	"NA"	228.2089301	[M-H]-	227.2016541
FA(15:0)	C15H30O2	"NA"	"NA"	"NA"	242.2245802	[M-H]-	241.2173042
FA(16:1)	C16H30O2	"NA"	"NA"	"NA"	254.2245802	[M-H]-	253.2173042
FA(16:0)	C16H32O2	"NA"	"NA"	"NA"	256.2402303	[M-H]-	255.23295430000002
FA(17:1)	C17H32O2	"NA"	"NA"	"NA"	268.2402303	[M-H]-	267.2329543
FA(17:0)	C17H34O2	"NA"	"NA"	"NA"	270.2558803	[M-H]-	269.2486043
FA(18:4)	C18H28O2	"NA"	"NA"	"NA"	276.2089301	[M-H]-	275.2016541
FA(18:3)	C18H30O2	"NA"	"NA"	"NA"	278.2245802	[M-H]-	277.2173042
FA(18:2)	C18H32O2	"NA"	"NA"	"NA"	280.2402303	[M-H]-	279.2329543
FA(18:1)	C18H34O2	"NA"	"NA"	"NA"	282.2558803	[M-H]-	281.2486043
FA(18:0)	C18H36O2	"NA"	"NA"	"NA"	284.2715304	[M-H]-	283.2642544
FA(19:1)	C19H36O2	"NA"	"NA"	"NA"	296.2715304	[M-H]-	295.2642544
FA(19:0)	C19H38O2	"NA"	"NA"	"NA"	298.2871805	[M-H]-	297.2799045
FA(20:5)	C20H30O2	"NA"	"NA"	"NA"	302.2245802	[M-H]-	301.2173042
FA(20:4)	C20H32O2	"NA"	"NA"	"NA"	304.2402303	[M-H]-	303.2329543
FA(20:3)	C20H34O2	"NA"	"NA"	"NA"	306.2558803	[M-H]-	305.2486043
FA(20:2)	C20H36O2	"NA"	"NA"	"NA"	308.2715304	[M-H]-	307.2642544
FA(20:1)	C20H38O2	"NA"	"NA"	"NA"	310.2871805	[M-H]-	309.2799045
FA(20:0)	C20H40O2	"NA"	"NA"	"NA"	312.3028305	[M-H]-	311.29555450000004
FA(22:0)	C22H44O2	"NA"	"NA"	"NA"	340.3341307	[M-H]-	339.3268547
CoA(12:0)	C33H58N7O17P3S	"NA"	"NA"	"NA"	949.2822756	[M-H]-	948.2749996
CoA(13:0)	C34H60N7O17P3S	"NA"	"NA"	"NA"	963.2979257	[M-H]-	962.2906496999999
CoA(14:0)	C35H62N7O17P3S	"NA"	"NA"	"NA"	977.3135757	[M-H]-	976.3062997
CoA(15:0)	C36H64N7O17P3S	"NA"	"NA"	"NA"	991.3292258	[M-H]-	990.3219498
CoA(16:1)	C37H64N7O17P3S	"NA"	"NA"	"NA"	1003.329226	[M-H]-	1002.3219499999999
CoA(16:0)	C37H66N7O17P3S	"NA"	"NA"	"NA"	1005.344876	[M-H]-	1004.3376
CoA(17:1)	C38H66N7O17P3S	"NA"	"NA"	"NA"	1017.344876	[M-H]-	1016.3376
CoA(17:0)	C38H68N7O17P3S	"NA"	"NA"	"NA"	1019.360526	[M-H]-	1018.35325
CoA(18:4)	C39H62N7O17P3S	"NA"	"NA"	"NA"	1025.313576	[M-H]-	1024.3063
CoA(18:3)	C39H64N7O17P3S	"NA"	"NA"	"NA"	1027.329226	[M-H]-	1026.32195
CoA(18:2)	C39H66N7O17P3S	"NA"	"NA"	"NA"	1029.344876	[M-H]-	1028.3376
CoA(18:1)	C39H68N7O17P3S	"NA"	"NA"	"NA"	1031.360526	[M-H]-	1030.35325
CoA(18:0)	C39H70N7O17P3S	"NA"	"NA"	"NA"	1033.376176	[M-H]-	1032.3689
CoA(19:1)	C40H70N7O17P3S	"NA"	"NA"	"NA"	1045.376176	[M-H]-	1044.3689
CoA(19:0)	C40H72N7O17P3S	"NA"	"NA"	"NA"	1047.391826	[M-H]-	1046.38455
CoA(20:5)	C41H64N7O17P3S	"NA"	"NA"	"NA"	1051.329226	[M-H]-	1050.32195
CoA(20:4)	C41H66N7O17P3S	"NA"	"NA"	"NA"	1053.344876	[M-H]-	1052.3376
CoA(20:3)	C41H68N7O17P3S	"NA"	"NA"	"NA"	1055.360526	[M-H]-	1054.35325
CoA(20:2)	C41H70N7O17P3S	"NA"	"NA"	"NA"	1057.376176	[M-H]-	1056.3689
