name	formula	smiles	inchi	inchikey	exactmass	adduct	mz
FA(12:0)	C12H24O2	"NA"	"NA"	"NA"	200.17763	[M+H]+	201.18490599999998
FA(13:0)	C13H26O2	"NA"	"NA"	"NA"	214.1932801	[M+H]+	215.2005561
FA(14:0)	C14H28O2	"NA"	"NA"	"NA"	228.2089301	[M+H]+	229.2162061
FA(15:0)	C15H30O2	"NA"	"NA"	"NA"	242.2245802	[M+H]+	243.23185619999998
FA(16:1)	C16H30O2	"NA"	"NA"	"NA"	254.2245802	[M+H]+	255.23185619999998
FA(16:0)	C16H32O2	"NA"	"NA"	"NA"	256.2402303	[M+H]+	257.2475063
FA(17:1)	C17H32O2	"NA"	"NA"	"NA"	268.2402303	[M+H]+	269.2475063
FA(17:0)	C17H34O2	"NA"	"NA"	"NA"	270.2558803	[M+H]+	271.2631563
FA(18:4)	C18H28O2	"NA"	"NA"	"NA"	276.2089301	[M+H]+	277.21620609999997
FA(18:3)	C18H30O2	"NA"	"NA"	"NA"	278.2245802	[M+H]+	279.2318562
FA(18:2)	C18H32O2	"NA"	"NA"	"NA"	280.2402303	[M+H]+	281.2475063
FA(18:1)	C18H34O2	"NA"	"NA"	"NA"	282.2558803	[M+H]+	283.2631563
FA(18:0)	C18H36O2	"NA"	"NA"	"NA"	284.2715304	[M+H]+	285.2788064
FA(19:1)	C19H36O2	"NA"	"NA"	"NA"	296.2715304	[M+H]+	297.2788064
FA(19:0)	C19H38O2	"NA"	"NA"	"NA"	298.2871805	[M+H]+	299.29445649999997
FA(20:5)	C20H30O2	"NA"	"NA"	"NA"	302.2245802	[M+H]+	303.2318562
FA(20:4)	C20H32O2	"NA"	"NA"	"NA"	304.2402303	[M+H]+	305.2475063
FA(20:3)	C20H34O2	"NA"	"NA"	"NA"	306.2558803	[M+H]+	307.2631563
FA(20:2)	C20H36O2	"NA"	"NA"	"NA"	308.2715304	[M+H]+	309.2788064
FA(20:1)	C20H38O2	"NA"	"NA"	"NA"	310.2871805	[M+H]+	311.29445649999997
