name	formula	smiles	inchi	inchikey	exactmass	adduct	mz
angl#10	C19H21N2O11P	O[C@@H]1[C@@H](OP(O)(O)=O)[C@H](O)[C@@H](COC(C2=CN=CC=C2)=O)O[C@H]1OC(C3=CC=CC=C3N)=O	InChI=1S/C19H21N2O11P/c20-12-6-2-1-5-11(12)18(25)31-19-15(23)16(32-33(26,27)28)14(22)13(30-19)9-29-17(24)10-4-3-7-21-8-10/h1-8,13-16,19,22-23H,9,20H2,(H2,26,27,28)/t13-,14-,15-,16+,19+/m1/s1	LHGJPJFTZZZYPK-RMWBKXBUSA-N	484.088296502	[M+H]+	485.095572502
angl#2	C13H18NO10P	O[C@@H]1[C@@H](OP(O)(O)=O)[C@H](O)[C@@H](CO)O[C@H]1OC(C2=CC=CC=C2N)=O	InChI=1S/C13H18NO10P/c14-7-4-2-1-3-6(7)12(18)23-13-10(17)11(24-25(19,20)21)9(16)8(5-15)22-13/h1-4,8-11,13,15-17H,5,14H2,(H2,19,20,21)/t8-,9-,10-,11+,13+/m1/s1	MVVUNNGPSNCMMK-YFVNTRNASA-N	379.066832782	[M+H]+	380.074108782
angl#3	C20H22N2O8	O=C(OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)[C@H](OC(C2=CC=CC=C2N)=O)O1)C3=CC=CC=C3N	InChI=1S/C20H22N2O8/c21-12-7-3-1-5-10(12)18(26)28-9-14-15(23)16(24)17(25)20(29-14)30-19(27)11-6-2-4-8-13(11)22/h1-8,14-17,20,23-25H,9,21-22H2/t14-,15-,16+,17-,20+/m1/s1	CWMAMBUODCSOIA-XDCWJTEKSA-N	418.137615676	[M+H]+	419.144891676
angl#4	C20H23N2O11P	O=C(OC[C@@H]1[C@@H](O)[C@H](OP(O)(O)=O)[C@@H](O)[C@H](OC(C2=CC=CC=C2N)=O)O1)C3=CC=CC=C3N	InChI=1S/C20H23N2O11P/c21-12-7-3-1-5-10(12)18(25)30-9-14-15(23)17(33-34(27,28)29)16(24)20(31-14)32-19(26)11-6-2-4-8-13(11)22/h1-8,14-17,20,23-24H,9,21-22H2,(H2,27,28,29)/t14-,15-,16-,17+,20+/m1/s1	UYZBIPRPOPTLGJ-PANQXIRQSA-N	498.103946567	[M+H]+	499.11122256699997
anglas#1	C26H39NO12	O=C(O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](COC(CCCC[C@H](O[C@H]2[C@H](O)C[C@@H](O)[C@H](C)O2)C)=O)O1)C3=CC=CC=C3N	InChI=1S/C26H39NO12/c1-13(36-25-18(29)11-17(28)14(2)37-25)7-3-6-10-20(30)35-12-19-21(31)22(32)23(33)26(38-19)39-24(34)15-8-4-5-9-16(15)27/h4-5,8-9,13-14,17-19,21-23,25-26,28-29,31-33H,3,6-7,10-12,27H2,1-2H3/t13-,14+,17-,18-,19-,21-,22+,23-,25-,26+/m1/s1	HIEMVXZVNROTAS-HFIDLINGSA-N	557.2472257	[M+H]+	558.2545017
anglas#2	C26H40NO15P	O=C(O[C@H]1[C@H](O)[C@@H](OP(O)(O)=O)[C@H](O)[C@@H](COC(CCCC[C@H](O[C@H]2[C@H](O)C[C@@H](O)[C@H](C)O2)C)=O)O1)C3=CC=CC=C3N	InChI=1S/C26H40NO15P/c1-13(38-25-18(29)11-17(28)14(2)39-25)7-3-6-10-20(30)37-12-19-21(31)23(42-43(34,35)36)22(32)26(40-19)41-24(33)15-8-4-5-9-16(15)27/h4-5,8-9,13-14,17-19,21-23,25-26,28-29,31-32H,3,6-7,10-12,27H2,1-2H3,(H2,34,35,36)/t13-,14+,17-,18-,19-,21-,22-,23+,25-,26+/m1/s1	LKWHLZKUACBKSP-SQRIAXLISA-N	637.21355659	[M+H]+	638.2208325900001
anglas#3	C28H41NO12	O=C(O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](COC(/C=C/CCCC[C@H](O[C@H]2[C@H](O)C[C@@H](O)[C@H](C)O2)C)=O)O1)C3=CC=CC=C3N	InChI=1S/C28H41NO12/c1-15(38-27-20(31)13-19(30)16(2)39-27)9-5-3-4-6-12-22(32)37-14-21-23(33)24(34)25(35)28(40-21)41-26(36)17-10-7-8-11-18(17)29/h6-8,10-12,15-16,19-21,23-25,27-28,30-31,33-35H,3-5,9,13-14,29H2,1-2H3/b12-6+/t15-,16+,19-,20-,21-,23-,24+,25-,27-,28+/m1/s1	WZSNRBYBVSJIAV-WDPONPGOSA-N	583.262875764	[M+H]+	584.270151764
anglas#7	C26H37NO12	O=C(O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](COC(/C=C/CC[C@H](O[C@H]2[C@H](O)C[C@@H](O)[C@H](C)O2)C)=O)O1)C3=CC=CC=C3N	InChI=1S/C26H37NO12/c1-13(36-25-18(29)11-17(28)14(2)37-25)7-3-6-10-20(30)35-12-19-21(31)22(32)23(33)26(38-19)39-24(34)15-8-4-5-9-16(15)27/h4-6,8-10,13-14,17-19,21-23,25-26,28-29,31-33H,3,7,11-12,27H2,1-2H3/b10-6+/t13-,14+,17-,18-,19-,21-,22+,23-,25-,26+/m1/s1	XDEBWGLYIRHYHE-POLYCWRCSA-N	555.231575635	[M+H]+	556.2388516350001
anglas#9	C24H35NO12	O=C(O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](COC(CC[C@H](O[C@H]2[C@H](O)C[C@@H](O)[C@H](C)O2)C)=O)O1)C3=CC=CC=C3N	InChI=1S/C24H35NO12/c1-11(34-23-16(27)9-15(26)12(2)35-23)7-8-18(28)33-10-17-19(29)20(30)21(31)24(36-17)37-22(32)13-5-3-4-6-14(13)25/h3-6,11-12,15-17,19-21,23-24,26-27,29-31H,7-10,25H2,1-2H3/t11-,12+,15-,16-,17-,19-,20+,21-,23-,24+/m1/s1	HRTOLZVBVDXBDK-LOZPBQCRSA-N	529.215925571	[M+H]+	530.223201571
ascad#10	C20H40N2O5	C[C@H]1[C@H](O)C[C@@H](O)[C@H](O[C@H](C)CCCCCCC(NCCCCCN)=O)O1	InChI=1S/C20H40N2O5/c1-15(26-20-18(24)14-17(23)16(2)27-20)10-6-3-4-7-11-19(25)22-13-9-5-8-12-21/h15-18,20,23-24H,3-14,21H2,1-2H3,(H,22,25)/t15-,16+,17-,18-,20-/m1/s1	PMQXETKRDMFZBS-KWXDATOUSA-N	388.293722396	[M+H]+	389.300998396
ascad#18	C22H44N2O5	C[C@H]1[C@H](O)C[C@@H](O)[C@H](O[C@H](C)CCCCCCCCC(NCCCCCN)=O)O1	InChI=1S/C22H44N2O5/c1-17(28-22-20(26)16-19(25)18(2)29-22)12-8-5-3-4-6-9-13-21(27)24-15-11-7-10-14-23/h17-20,22,25-26H,3-16,23H2,1-2H3,(H,24,27)/t17-,18+,19-,20-,22-/m1/s1	GNMBMTLWGKFVQA-AIYVTKCESA-N	416.325022525	[M+H]+	417.332298525
ascad#7	C18H34N2O5	C[C@H]1[C@H](O)C[C@@H](O)[C@H](O[C@H](C)CC/C=C/C(NCCCCCN)=O)O1	InChI=1S/C18H34N2O5/c1-13(24-18-16(22)12-15(21)14(2)25-18)8-4-5-9-17(23)20-11-7-3-6-10-19/h5,9,13-16,18,21-22H,3-4,6-8,10-12,19H2,1-2H3,(H,20,23)/b9-5+/t13-,14+,15-,16-,18-/m1/s1	KPMLLYHRARDQGP-VXRRRMGPSA-N	358.246772203	[M+H]+	359.25404820299997
ascala#10	C18H33NO7	C[C@H]1[C@H](O)C[C@@H](O)[C@H](O[C@H](C)CCCCCCC(N[C@@H](C)C(O)=O)=O)O1	InChI=1S/C18H33NO7/c1-11(25-18-15(21)10-14(20)13(3)26-18)8-6-4-5-7-9-16(22)19-12(2)17(23)24/h11-15,18,20-21H,4-10H2,1-3H3,(H,19,22)(H,23,24)/t11-,12+,13+,14-,15-,18-/m1/s1	DJHZPVSLAPGHBK-OXAFQIDNSA-N	375.22570240699997	[M+H]+	376.23297840699996
ascala#18	C20H37NO7	C[C@H]1[C@H](O)C[C@@H](O)[C@H](O[C@H](C)CCCCCCCCC(N[C@@H](C)C(O)=O)=O)O1	InChI=1S/C20H37NO7/c1-13(27-20-17(23)12-16(22)15(3)28-20)10-8-6-4-5-7-9-11-18(24)21-14(2)19(25)26/h13-17,20,22-23H,4-12H2,1-3H3,(H,21,24)(H,25,26)/t13-,14+,15+,16-,17-,20-/m1/s1	PXBWUGYEGKKGJK-KOVNWGBHSA-N	403.257002535	[M+H]+	404.264278535
ascasn#10	C19H34N2O8	C[C@H]1[C@H](O)C[C@@H](O)[C@H](O[C@H](C)CCCCCCC(N[C@@H](CC(N)=O)C(O)=O)=O)O1	InChI=1S/C19H34N2O8/c1-11(28-19-15(23)10-14(22)12(2)29-19)7-5-3-4-6-8-17(25)21-13(18(26)27)9-16(20)24/h11-15,19,22-23H,3-10H2,1-2H3,(H2,20,24)(H,21,25)(H,26,27)/t11-,12+,13+,14-,15-,19-/m1/s1	RCKYVZRCRUPXAK-GOXKZAASSA-N	418.231516063	[M+H]+	419.238792063
ascgln#10	C20H36N2O8	C[C@H]1[C@H](O)C[C@@H](O)[C@H](O[C@H](C)CCCCCCC(N[C@@H](CCC(N)=O)C(O)=O)=O)O1	InChI=1S/C20H36N2O8/c1-12(29-20-16(24)11-15(23)13(2)30-20)7-5-3-4-6-8-18(26)22-14(19(27)28)9-10-17(21)25/h12-16,20,23-24H,3-11H2,1-2H3,(H2,21,25)(H,22,26)(H,27,28)/t12-,13+,14+,15-,16-,20-/m1/s1	MSTUEHCKHJARAS-IZYLAAAZSA-N	432.247166127	[M+H]+	433.254442127
ascgln#18	C22H40N2O8	C[C@H]1[C@H](O)C[C@@H](O)[C@H](O[C@H](C)CCCCCCCCC(N[C@@H](CCC(N)=O)C(O)=O)=O)O1	InChI=1S/C22H40N2O8/c1-14(31-22-18(26)13-17(25)15(2)32-22)9-7-5-3-4-6-8-10-20(28)24-16(21(29)30)11-12-19(23)27/h14-18,22,25-26H,3-13H2,1-2H3,(H2,23,27)(H,24,28)(H,29,30)/t14-,15+,16+,17-,18-,22-/m1/s1	UGINYPNEMVXSNZ-UNVQJORHSA-N	460.278466256	[M+H]+	461.285742256
ascglu#10	C20H35NO9	C[C@H]1[C@H](O)C[C@@H](O)[C@H](O[C@H](C)CCCCCCC(N[C@@H](CCC(O)=O)C(O)=O)=O)O1	InChI=1S/C20H35NO9/c1-12(29-20-16(23)11-15(22)13(2)30-20)7-5-3-4-6-8-17(24)21-14(19(27)28)9-10-18(25)26/h12-16,20,22-23H,3-11H2,1-2H3,(H,21,24)(H,25,26)(H,27,28)/t12-,13+,14+,15-,16-,20-/m1/s1	DGCGZFUQLFMPJM-IZYLAAAZSA-N	433.231181711	[M+H]+	434.23845771099997
ascglu#18	C22H39NO9	C[C@H]1[C@H](O)C[C@@H](O)[C@H](O[C@H](C)CCCCCCCCC(N[C@@H](CCC(O)=O)C(O)=O)=O)O1	InChI=1S/C22H39NO9/c1-14(31-22-18(25)13-17(24)15(2)32-22)9-7-5-3-4-6-8-10-19(26)23-16(21(29)30)11-12-20(27)28/h14-18,22,24-25H,3-13H2,1-2H3,(H,23,26)(H,27,28)(H,29,30)/t14-,15+,16+,17-,18-,22-/m1/s1	SRGVRRTZDQIGJS-UNVQJORHSA-N	461.26248184	[M+H]+	462.26975784
ascgly#10	C17H31NO7	C[C@H]1[C@H](O)C[C@@H](O)[C@H](O[C@H](C)CCCCCCC(NCC(O)=O)=O)O1	InChI=1S/C17H31NO7/c1-11(24-17-14(20)9-13(19)12(2)25-17)7-5-3-4-6-8-15(21)18-10-16(22)23/h11-14,17,19-20H,3-10H2,1-2H3,(H,18,21)(H,22,23)/t11-,12+,13-,14-,17-/m1/s1	FTVPJVXYOUQZJM-QFRSUPTLSA-N	361.210052342	[M+H]+	362.217328342
ascgly#18	C19H35NO7	C[C@H]1[C@H](O)C[C@@H](O)[C@H](O[C@H](C)CCCCCCCCC(NCC(O)=O)=O)O1	InChI=1S/C19H35NO7/c1-13(26-19-16(22)11-15(21)14(2)27-19)9-7-5-3-4-6-8-10-17(23)20-12-18(24)25/h13-16,19,21-22H,3-12H2,1-2H3,(H,20,23)(H,24,25)/t13-,14+,15-,16-,19-/m1/s1	XZUIPWSLMDGXDH-PPLBCVRQSA-N	389.241352471	[M+H]+	390.248628471
ascleu#10	C21H39NO7	C[C@H]1[C@H](O)C[C@@H](O)[C@H](O[C@H](C)CCCCCCC(N[C@@H](CC(C)C)C(O)=O)=O)O1	InChI=1S/C21H39NO7/c1-13(2)11-16(20(26)27)22-19(25)10-8-6-5-7-9-14(3)28-21-18(24)12-17(23)15(4)29-21/h13-18,21,23-24H,5-12H2,1-4H3,(H,22,25)(H,26,27)/t14-,15+,16+,17-,18-,21-/m1/s1	IDKQLJUUYOQODI-IXDXKAAESA-N	417.2726526	[M+H]+	418.2799286
ascphe#10	C24H37NO7	C[C@H]1[C@H](O)C[C@@H](O)[C@H](O[C@H](C)CCCCCCC(N[C@@H](CC2=CC=CC=C2)C(O)=O)=O)O1	InChI=1S/C24H37NO7/c1-16(31-24-21(27)15-20(26)17(2)32-24)10-6-3-4-9-13-22(28)25-19(23(29)30)14-18-11-7-5-8-12-18/h5,7-8,11-12,16-17,19-21,24,26-27H,3-4,6,9-10,13-15H2,1-2H3,(H,25,28)(H,29,30)/t16-,17+,19+,20-,21-,24-/m1/s1	ZXVBGPZZPQPXRR-VEMFDGEJSA-N	451.257002535	[M+H]+	452.264278535
ascphe#18	C26H41NO7	C[C@H]1[C@H](O)C[C@@H](O)[C@H](O[C@H](C)CCCCCCCCC(N[C@@H](CC2=CC=CC=C2)C(O)=O)=O)O1	InChI=1S/C26H41NO7/c1-18(33-26-23(29)17-22(28)19(2)34-26)12-8-5-3-4-6-11-15-24(30)27-21(25(31)32)16-20-13-9-7-10-14-20/h7,9-10,13-14,18-19,21-23,26,28-29H,3-6,8,11-12,15-17H2,1-2H3,(H,27,30)(H,31,32)/t18-,19+,21+,22-,23-,26-/m1/s1	YCXSEXQWBXSPGL-ZXULMKBDSA-N	479.288302664	[M+H]+	480.295578664
ascr#1	C13H24O6	C[C@@H]1O[C@@H](O[C@H](C)CCCCC(O)=O)[C@H](O)C[C@H]1O	InChI=1S/C13H24O6/c1-8(5-3-4-6-12(16)17)18-13-11(15)7-10(14)9(2)19-13/h8-11,13-15H,3-7H2,1-2H3,(H,16,17)/t8-,9+,10-,11-,13-/m1/s1	KBTQMAFDKPKMEJ-UYNYGYNWSA-N	276.157288493	[M+H]+	277.164564493
ascr#10	C15H28O6	C[C@H](CCCCCCC(O)=O)O[C@H]1[C@H](O)C[C@@H](O)[C@H](C)O1	InChI=1S/C15H28O6/c1-10(7-5-3-4-6-8-14(18)19)20-15-13(17)9-12(16)11(2)21-15/h10-13,15-17H,3-9H2,1-2H3,(H,18,19)/t10-,11+,12-,13-,15-/m1/s1	MILZHQPVNOSJIP-WPLOAARJSA-N	304.188588622	[M+H]+	305.195864622
ascr#11	C10H18O6	C[C@H]1[C@H](O)C[C@@H](O)[C@H](O[C@@H](CC(O)=O)C)O1	InChI=1S/C10H18O6/c1-5(3-9(13)14)15-10-8(12)4-7(11)6(2)16-10/h5-8,10-12H,3-4H2,1-2H3,(H,13,14)/t5-,6+,7-,8-,10-/m1/s1	VQZVOFZWXBQLCG-MGPZHUSASA-N	234.1103383	[M+H]+	235.11761429999999
ascr#12	C12H22O6	C[C@H]1[C@H](O)C[C@@H](O)[C@H](O[C@@H](CCCC(O)=O)C)O1	InChI=1S/C12H22O6/c1-7(4-3-5-11(15)16)17-12-10(14)6-9(13)8(2)18-12/h7-10,12-14H,3-6H2,1-2H3,(H,15,16)/t7-,8+,9-,10-,12-/m1/s1	LGGOKKRYYYYXPA-VEOFNUSFSA-N	262.141638428	[M+H]+	263.148914428
ascr#13	C14H24O6	C[C@H]1[C@H](O)C[C@@H](O)[C@H](O[C@@H](CCC/C=C/C(O)=O)C)O1	InChI=1S/C14H24O6/c1-9(6-4-3-5-7-13(17)18)19-14-12(16)8-11(15)10(2)20-14/h5,7,9-12,14-16H,3-4,6,8H2,1-2H3,(H,17,18)/b7-5+/t9-,10+,11-,12-,14-/m1/s1	OZXQOEFFYWNZJI-UYWLPYIRSA-N	288.157288493	[M+H]+	289.164564493
ascr#14	C14H26O6	C[C@H]1[C@H](O)C[C@@H](O)[C@H](O[C@@H](CCCCCC(O)=O)C)O1	InChI=1S/C14H26O6/c1-9(6-4-3-5-7-13(17)18)19-14-12(16)8-11(15)10(2)20-14/h9-12,14-16H,3-8H2,1-2H3,(H,17,18)/t9-,10+,11-,12-,14-/m1/s1	HRHMWTOQBKRTTG-CYRBOEJBSA-N	290.172938557	[M+H]+	291.180214557
