name	formula	exactmass	adduct	mz
FA(12:0)	C12H24O2	200.17763	[M-H]-	199.1703536
FA(13:0)	C13H26O2	214.1932801	[M-H]-	213.1860036
FA(14:0)	C14H28O2	228.2089301	[M-H]-	227.2016537
FA(15:0)	C15H30O2	242.2245802	[M-H]-	241.2173038
FA(16:1)	C16H30O2	254.2245802	[M-H]-	253.2173038
FA(16:0)	C16H32O2	256.2402303	[M-H]-	255.2329538
FA(17:1)	C17H32O2	268.2402303	[M-H]-	267.2329538
FA(17:0)	C17H34O2	270.2558803	[M-H]-	269.2486039
FA(18:4)	C18H28O2	276.2089301	[M-H]-	275.2016537
FA(18:3)	C18H30O2	278.2245802	[M-H]-	277.2173038
FA(18:2)	C18H32O2	280.2402303	[M-H]-	279.2329538
FA(18:1)	C18H34O2	282.2558803	[M-H]-	281.2486039
FA(18:0)	C18H36O2	284.2715304	[M-H]-	283.2642539
FA(19:1)	C19H36O2	296.2715304	[M-H]-	295.2642539
FA(19:0)	C19H38O2	298.2871805	[M-H]-	297.279904
FA(20:5)	C20H30O2	302.2245802	[M-H]-	301.2173038
FA(20:4)	C20H32O2	304.2402303	[M-H]-	303.2329538
FA(20:3)	C20H34O2	306.2558803	[M-H]-	305.2486039
FA(20:2)	C20H36O2	308.2715304	[M-H]-	307.2642539
FA(20:1)	C20H38O2	310.2871805	[M-H]-	309.279904
FA(20:0)	C20H40O2	312.3028305	[M-H]-	311.2955541
FA(22:0)	C22H44O2	340.3341307	[M-H]-	339.3268542
CoA(12:0)	C33H58N7O17P3S	949.2822756	[M-H]-	948.2749992
CoA(13:0)	C34H60N7O17P3S	963.2979257	[M-H]-	962.2906492
CoA(14:0)	C35H62N7O17P3S	977.3135757	[M-H]-	976.3062993
CoA(15:0)	C36H64N7O17P3S	991.3292258	[M-H]-	990.3219493
CoA(16:1)	C37H64N7O17P3S	1003.329226	[M-H]-	1002.321949
CoA(16:0)	C37H66N7O17P3S	1005.344876	[M-H]-	1004.337599
CoA(17:1)	C38H66N7O17P3S	1017.344876	[M-H]-	1016.337599
CoA(17:0)	C38H68N7O17P3S	1019.360526	[M-H]-	1018.353249
CoA(18:4)	C39H62N7O17P3S	1025.313576	[M-H]-	1024.306299
CoA(18:3)	C39H64N7O17P3S	1027.329226	[M-H]-	1026.321949
CoA(18:2)	C39H66N7O17P3S	1029.344876	[M-H]-	1028.337599
CoA(18:1)	C39H68N7O17P3S	1031.360526	[M-H]-	1030.353249
CoA(18:0)	C39H70N7O17P3S	1033.376176	[M-H]-	1032.3689
CoA(19:1)	C40H70N7O17P3S	1045.376176	[M-H]-	1044.3689
