name	formula	exactmass	adduct	mz
CDP-DG(24:0)	C36H65N3O15P2	841.3890924	[M+H]+	842.3963689
CDP-DG(24:0)	C36H65N3O15P2	841.3890924	[M+Na]+	864.3783131
CDP-DG(25:0)	C37H67N3O15P2	855.4047425	[M+H]+	856.4120189
CDP-DG(25:0)	C37H67N3O15P2	855.4047425	[M+Na]+	878.3939632
CDP-DG(26:0)	C38H69N3O15P2	869.4203925	[M+H]+	870.427669
CDP-DG(26:0)	C38H69N3O15P2	869.4203925	[M+Na]+	892.4096132
CDP-DG(27:0)	C39H71N3O15P2	883.4360426	[M+H]+	884.443319
CDP-DG(27:0)	C39H71N3O15P2	883.4360426	[M+Na]+	906.4252633
CDP-DG(28:0)	C40H73N3O15P2	897.4516927	[M+H]+	898.4589691
CDP-DG(28:0)	C40H73N3O15P2	897.4516927	[M+Na]+	920.4409134
CDP-DG(28:1)	C40H71N3O15P2	895.4360426	[M+H]+	896.443319
CDP-DG(28:1)	C40H71N3O15P2	895.4360426	[M+Na]+	918.4252633
CDP-DG(29:0)	C41H75N3O15P2	911.4673427	[M+H]+	912.4746192
CDP-DG(29:0)	C41H75N3O15P2	911.4673427	[M+Na]+	934.4565634
CDP-DG(29:1)	C41H73N3O15P2	909.4516927	[M+H]+	910.4589691
CDP-DG(29:1)	C41H73N3O15P2	909.4516927	[M+Na]+	932.4409134
CDP-DG(30:0)	C42H77N3O15P2	925.4829928	[M+H]+	926.4902692
CDP-DG(30:0)	C42H77N3O15P2	925.4829928	[M+Na]+	948.4722135
CDP-DG(30:1)	C42H75N3O15P2	923.4673427	[M+H]+	924.4746192
CDP-DG(30:1)	C42H75N3O15P2	923.4673427	[M+Na]+	946.4565634
CDP-DG(30:2)	C42H73N3O15P2	921.4516927	[M+H]+	922.4589691
CDP-DG(30:2)	C42H73N3O15P2	921.4516927	[M+Na]+	944.4409134
CDP-DG(30:3)	C42H71N3O15P2	919.4360426	[M+H]+	920.443319
CDP-DG(30:3)	C42H71N3O15P2	919.4360426	[M+Na]+	942.4252633
CDP-DG(30:4)	C42H69N3O15P2	917.4203925	[M+H]+	918.427669
CDP-DG(30:4)	C42H69N3O15P2	917.4203925	[M+Na]+	940.4096132
CDP-DG(31:0)	C43H79N3O15P2	939.4986429	[M+H]+	940.5059193
CDP-DG(31:0)	C43H79N3O15P2	939.4986429	[M+Na]+	962.4878636
CDP-DG(31:1)	C43H77N3O15P2	937.4829928	[M+H]+	938.4902692
CDP-DG(31:1)	C43H77N3O15P2	937.4829928	[M+Na]+	960.4722135
CDP-DG(31:2)	C43H75N3O15P2	935.4673427	[M+H]+	936.4746192
CDP-DG(31:2)	C43H75N3O15P2	935.4673427	[M+Na]+	958.4565634
CDP-DG(31:3)	C43H73N3O15P2	933.4516927	[M+H]+	934.4589691
CDP-DG(31:3)	C43H73N3O15P2	933.4516927	[M+Na]+	956.4409134
CDP-DG(31:4)	C43H71N3O15P2	931.4360426	[M+H]+	932.443319
CDP-DG(31:4)	C43H71N3O15P2	931.4360426	[M+Na]+	954.4252633
CDP-DG(32:0)	C44H81N3O15P2	953.5142929	[M+H]+	954.5215694
CDP-DG(32:0)	C44H81N3O15P2	953.5142929	[M+Na]+	976.5035136
CDP-DG(32:1)	C44H79N3O15P2	951.4986429	[M+H]+	952.5059193
CDP-DG(32:1)	C44H79N3O15P2	951.4986429	[M+Na]+	974.4878636
CDP-DG(32:2)	C44H77N3O15P2	949.4829928	[M+H]+	950.4902692
CDP-DG(32:2)	C44H77N3O15P2	949.4829928	[M+Na]+	972.4722135
CDP-DG(32:3)	C44H75N3O15P2	947.4673427	[M+H]+	948.4746192
CDP-DG(32:3)	C44H75N3O15P2	947.4673427	[M+Na]+	970.4565634
CDP-DG(32:4)	C44H73N3O15P2	945.4516927	[M+H]+	946.4589691
CDP-DG(32:4)	C44H73N3O15P2	945.4516927	[M+Na]+	968.4409134
CDP-DG(32:5)	C44H71N3O15P2	943.4360426	[M+H]+	944.443319
CDP-DG(32:5)	C44H71N3O15P2	943.4360426	[M+Na]+	966.4252633
CDP-DG(33:0)	C45H83N3O15P2	967.529943	[M+H]+	968.5372194
CDP-DG(33:0)	C45H83N3O15P2	967.529943	[M+Na]+	990.5191637
CDP-DG(33:1)	C45H81N3O15P2	965.5142929	[M+H]+	966.5215694
CDP-DG(33:1)	C45H81N3O15P2	965.5142929	[M+Na]+	988.5035136
CDP-DG(33:2)	C45H79N3O15P2	963.4986429	[M+H]+	964.5059193
CDP-DG(33:2)	C45H79N3O15P2	963.4986429	[M+Na]+	986.4878636
CDP-DG(33:3)	C45H77N3O15P2	961.4829928	[M+H]+	962.4902692
CDP-DG(33:3)	C45H77N3O15P2	961.4829928	[M+Na]+	984.4722135
CDP-DG(33:4)	C45H75N3O15P2	959.4673427	[M+H]+	960.4746192
CDP-DG(33:4)	C45H75N3O15P2	959.4673427	[M+Na]+	982.4565634
CDP-DG(33:5)	C45H73N3O15P2	957.4516927	[M+H]+	958.4589691
CDP-DG(33:5)	C45H73N3O15P2	957.4516927	[M+Na]+	980.4409134
CDP-DG(34:0)	C46H85N3O15P2	981.545593	[M+H]+	982.5528695
CDP-DG(34:0)	C46H85N3O15P2	981.545593	[M+Na]+	1004.534814
CDP-DG(34:1)	C46H83N3O15P2	979.529943	[M+H]+	980.5372194
CDP-DG(34:1)	C46H83N3O15P2	979.529943	[M+Na]+	1002.519164
CDP-DG(34:2)	C46H81N3O15P2	977.5142929	[M+H]+	978.5215694
CDP-DG(34:2)	C46H81N3O15P2	977.5142929	[M+Na]+	1000.503514
CDP-DG(34:3)	C46H79N3O15P2	975.4986429	[M+H]+	976.5059193
CDP-DG(34:3)	C46H79N3O15P2	975.4986429	[M+Na]+	998.4878636
CDP-DG(34:4)	C46H77N3O15P2	973.4829928	[M+H]+	974.4902692
CDP-DG(34:4)	C46H77N3O15P2	973.4829928	[M+Na]+	996.4722135
CDP-DG(34:5)	C46H75N3O15P2	971.4673427	[M+H]+	972.4746192
CDP-DG(34:5)	C46H75N3O15P2	971.4673427	[M+Na]+	994.4565634
CDP-DG(35:0)	C47H87N3O15P2	995.5612431	[M+H]+	996.5685196
CDP-DG(35:0)	C47H87N3O15P2	995.5612431	[M+Na]+	1018.550464
CDP-DG(35:1)	C47H85N3O15P2	993.545593	[M+H]+	994.5528695
CDP-DG(35:1)	C47H85N3O15P2	993.545593	[M+Na]+	1016.534814
CDP-DG(35:2)	C47H83N3O15P2	991.529943	[M+H]+	992.5372194
CDP-DG(35:2)	C47H83N3O15P2	991.529943	[M+Na]+	1014.519164
CDP-DG(35:3)	C47H81N3O15P2	989.5142929	[M+H]+	990.5215694
CDP-DG(35:3)	C47H81N3O15P2	989.5142929	[M+Na]+	1012.503514
CDP-DG(35:4)	C47H79N3O15P2	987.4986429	[M+H]+	988.5059193
CDP-DG(35:4)	C47H79N3O15P2	987.4986429	[M+Na]+	1010.487864
CDP-DG(35:5)	C47H77N3O15P2	985.4829928	[M+H]+	986.4902692
CDP-DG(35:5)	C47H77N3O15P2	985.4829928	[M+Na]+	1008.472213
CDP-DG(36:0)	C48H89N3O15P2	1009.576893	[M+H]+	1010.58417
CDP-DG(36:0)	C48H89N3O15P2	1009.576893	[M+Na]+	1032.566114
CDP-DG(36:1)	C48H87N3O15P2	1007.561243	[M+H]+	1008.56852
CDP-DG(36:1)	C48H87N3O15P2	1007.561243	[M+Na]+	1030.550464
CDP-DG(36:2)	C48H85N3O15P2	1005.545593	[M+H]+	1006.552869
CDP-DG(36:2)	C48H85N3O15P2	1005.545593	[M+Na]+	1028.534814
CDP-DG(36:3)	C48H83N3O15P2	1003.529943	[M+H]+	1004.537219
CDP-DG(36:3)	C48H83N3O15P2	1003.529943	[M+Na]+	1026.519164
CDP-DG(36:4)	C48H81N3O15P2	1001.514293	[M+H]+	1002.521569
CDP-DG(36:4)	C48H81N3O15P2	1001.514293	[M+Na]+	1024.503514
CDP-DG(36:5)	C48H79N3O15P2	999.4986429	[M+H]+	1000.505919
CDP-DG(36:5)	C48H79N3O15P2	999.4986429	[M+Na]+	1022.487864
CDP-DG(36:6)	C48H77N3O15P2	997.4829928	[M+H]+	998.4902692
CDP-DG(36:6)	C48H77N3O15P2	997.4829928	[M+Na]+	1020.472213
CDP-DG(36:7)	C48H75N3O15P2	995.4673427	[M+H]+	996.4746192
CDP-DG(36:7)	C48H75N3O15P2	995.4673427	[M+Na]+	1018.456563
CDP-DG(36:8)	C48H73N3O15P2	993.4516927	[M+H]+	994.4589691
CDP-DG(36:8)	C48H73N3O15P2	993.4516927	[M+Na]+	1016.440913
CDP-DG(37:0)	C49H91N3O15P2	1023.592543	[M+H]+	1024.59982
